0.633333, 2329.733333, 0.003973s, 0, 100, 50, 30, 0.500000, 1
0.489000, 2562.970000, 0.090265s, 0, 100, 50, 1000, 0.500000, 1
0.501100, 2544.046200, 0.871912s, 0, 100, 50, 10000, 0.500000, 1
0.500500, 2515.521400, 0.481305s, 0, 100, 50, 10000, 0.500000, 2
1.000000, 249.701000, 0.048448s, 0, 100, 50, 10000, 0.600000, 2
0.996000, 826.190800, 0.153793s, 0, 100, 50, 10000, 0.530000, 2
0.878700, 1909.977000, 0.332707s, 0, 100, 50, 10000, 0.510000, 2
0.344900, 1189.693600, 0.219638s, 0, 100, 10, 10000, 0.510000, 2
0.337600, 1184.248000, 0.160058s, 0, 100, 10, 10000, 0.510000, 2
0.343000, 1185.236600, 0.161954s, 0, 100, 10, 10000, 0.510000, 2
0.339900, 1192.111600, 0.096345s, 0, 100, 10, 10000, 0.510000, 4
0.337710, 1181.938180, 2.981986s, 0, 100, 10, 100000, 0.510000, 1
0.336590, 1184.143360, 1.520924s, 0, 100, 10, 100000, 0.510000, 2
0.337080, 1185.540080, 0.948300s, 0, 100, 10, 100000, 0.510000, 4
0.335810, 1188.811040, 0.831190s, 0, 100, 10, 100000, 0.510000, 8
0.336900, 1183.868300, 0.818137s, 0, 100, 10, 100000, 0.510000, 16
0.300000, 714.600000, 0.006282s, 0, 100, 10, 10, 0.510000, 4
0.320000, 1039.300000, 0.008325s, 0, 100, 10, 100, 0.510000, 4
0.359000, 1237.536000, 0.018825s, 0, 100, 10, 1000, 0.510000, 4
0.318500, 1136.444600, 0.094500s, 0, 100, 10, 10000, 0.510000, 4
0.337040, 1177.269780, 0.784633s, 0, 100, 10, 100000, 0.510000, 4
0.335452, 1179.691755, 3.102137s, 0, 100, 10, 400000, 0.510000, 4
